type       | set               | hat                 | neck                | face                | shirt               | back                 | pants
legendary  | marshall          | r,12 c,12 fm,6 ft,5 | r,12 c,10 fm,7 ff,5 | r,14 c,7 fm,7 ff,6  | r,12 c,12 fm,8 ft,8 | r,12 c,12 fm,6 ff,5  | r,13 c,12 fm,7 ft,7
legendary  | musketeer         | f,13 v,13 cm,6 ft,2 | f,15 v,11 cm,7 ff,2 | f,14 v,14 cm,5 pp,1 | f,14 v,13 cm,10     | f,13 v,12 cm,6 pp,4  | f,14 v,13 cm,9 fm,3
legendary  | rebel             | b,13 c,12 pp,9      | b,13 c,10 pp,12     | b,13 c,8 pp,13      | b,14 c,14 pp,10     | b,13 c,11 pp,11 fm,3 | b,14 c,14 pp,9 ff,2
leg. color | l-rush            | r,16 v,9 pp,4 cm,6  | r,19 v,7 pp,5 cm,6  | r,19 v,7 pp,5 cm,5  | r,21 v,9 pp,5 cm,5  | r,21 v,10 pp,6 cm,5  | r,20 v,8 pp,6 cm,6
leg. color | l-chill           | c,19 f,10 pp,10     | c,15 f,11 pp,8      | c,17 f,11 pp,8      | c,21 f,10 pp,9      | c,19 f,9 pp,9        | c,18 f,10 pp,9
leg. color | l-vibe            | v,17 b,11 cm,9      | v,18 b,6 cm,14      | v,18 b,9 cm,7       | v,20 b,10 cm,11     | v,20 b,9 cm,9        | v,20 b,9 cm,9
leg. color | l-flow            | f,17 c,7 fm,12      | f,16 c,11 fm,8      | f,17 c,10 fm,9      | f,21 c,10 fm,8      | f,21 c,7 fm,7        | f,19 c,11 fm,9
leg. color | l-beat            | b,18 f,7 ff,7 ft,5  | b,16 f,9 ff,6 ft,7  | b,18 f,9 ff,8 ft,5  | b,21 f,9 ff,7 ft,7  | b,19 f,10 ff,4 ft,8  | b,18 f,7 ff,6 ft,7
rare color | r-rush            | r,14 v,6 pp,3 cm,4  | r,14 v,4 pp,5 cm,5  | r,14 v,6 pp,4 cm,4  | r,15 v,7 pp,4 cm,4  | r,14 v,8 pp,5 cm,2   | r,16 v,6 pp,4 cm,4
rare color | r-chill           | c,14 f,8 pp,9       | c,13 f,10 pp,5      | c,14 f,9 pp,6       | c,15 f,10 pp,6      | c,15 f,8 pp,7        | c,14 f,9 pp,7
rare color | r-vibe            | v,13 b,10 cm,6      | v,12 b,3 cm,12      | v,15 b,8 cm,7       | v,16 b,5 cm,10      | v,16 b,8 cm,6        | v,15 b,8 cm,6
rare color | r-flow            | f,15 c,6 fm,9       | f,13 c,9 fm,6       | f,14 c,8 fm,7       | f,16 c,8 fm,6       | f,17 c,4 fm,7        | f,14 c,9 fm,7
rare color | r-beat            | b,16 f,6 ff,6 ft,3  | b,14 f,7 ff,4 ft,5  | b,13 f,8 ff,5 ft,3  | b,15 f,6 ff,4 ft,4  | b,15 f,7 ff,3 ft,4   | b,14 f,6 ff,5 ft,4
shop       | random            | v,5 c,2 fm,3        | c,2 v,4 fm,4        | c,2 v,4 fm,4        | v,6 c,1 fm,5        | -                    | v,6 c,1 fm,4
shop       | onii              | r,6 f,3 cm,3        | r,5 f,2 cm,5        | r,4 f,3 cm,5        | r,6 f,1 cm,5        | r,4 f,1 cm,2         | r,6 f,2 cm,5
shop       | xsitsu            | b,5 c,3 pp,4        | c,3 b,4 pp,4        | b,6 c,1 pp,5        | b,5 c,2 pp,5        | -                    | b,4 c,2 pp,4
