pp  | ff           | fm          | ft   | cm
450 | 0.3          | 5.2534      | 2.67 | 2.6
449 | 0.30092679   | 5.252899    | 2.67 | 2.599513382
449 | 0.3014679    | 5.24825     | 2.66 | 2.59845
448 | 0.30252312   | 5.24438     | 2.66 | 2.5973
448 | 0.3049370206 | 5.240676994 | 2.66 | 2.595984944
447 | 0.307525097  | 5.235155    | 2.65 | 2.594055
445 | 0.31034842   | 5.229252    | 2.65 | 2.5913
444 | 0.3144969    | 5.220951    | 2.65 | 2.588052271
442 | 0.3186599446 | 5.212312    | 2.64 | 2.583784951
440 | 0.3203453453 | 5.203089888 | 2.64 | 2.580602883
438 | 0.3210861553 | 5.192952    | 2.63 | 2.576429405
436 | 0.3308107227 | 5.181767128 | 2.62 | 2.5722
433 | 0.3331647217 | 5.169102    | 2.61 | 2.567652612
431 | 0.3368678576 | 5.157080715 | 2.6  | 2.562420382
428 | 0.3412432342 | 5.144117647 | 2.6  | 2.557377
426 | 0.3478658756 | 5.131127871 | 2.59 | 2.552075893
423 | 0.3537268837 | 5.116899804 | 2.58 | 2.546052632
420 | 0.3588844248 | 5.10281     | 2.57 | 2.54256
417 | 0.36397551   | 5.087601    | 2.56 | 2.537465968
414 | 0.3709089921 | 5.07362     | 2.55 | 2.528935905
411 | 0.377533     | 5.058999    | 2.54 | 2.52271035
408 | 0.3809335595 | 5.043788    | 2.53 | 2.516935904
405 | 0.3886391437 | 5.027760642 | 2.52 | 2.51061
402 | 0.3909581268 | 5.0118601   | 2.51 | 2.504297994
398 | 0.3989590856 | 4.996222    | 2.5  | 2.498213
395 | 0.405501995  | 4.980016313 | 2.49 | 2.491609695
392 | 0.4140216489 | 4.964432566 | 2.48 | 2.48525
389 | 0.4210318289 | 4.948636902 | 2.47 | 2.479862475
386 | 0.4278334425 | 4.931685643 | 2.45 | 2.471917808
383 | 0.434956     | 4.914906832 | 2.44 | 2.468914647
379 | 0.4394923263 | 4.899308381 | 2.43 | 2.459422
376 | 0.445001     | 4.88412     | 2.42 | 2.453635406
373 | 0.4545245099 | 4.866498741 | 2.41 | 2.446357
369 | 0.4611300983 | 4.850383    | 2.4  | 2.438356164
366 | 0.4688389906 | 4.834911    | 2.39 | 2.433051002
363 | 0.4711546657 | 4.81947     | 2.38 | 2.4273
360 | 0.4780600889 | 4.802733    | 2.37 | 2.4208311
357 | 0.481179233  | 4.7879      | 2.36 | 2.414790997
354 | 0.4885475347 | 4.774986    | 2.35 | 2.408234239
351 | 0.4912038004 | 4.760919    | 2.34 | 2.403308614
350 | 0.4970047168 | 4.751751133 | 2.33 | 2.399605328
348 | 0.5023589227 | 4.730519239 | 2.32 | 2.393811765
346 | 0.5112529351 | 4.705721    | 2.3  | 2.389663659
343 | 0.5212775024 | 4.676599    | 2.28 | 2.383
341 | 0.5268345684 | 4.650801923 | 2.26 | 2.376185458
338 | 0.5386618107 | 4.62195333  | 2.23 | 2.369879518
336 | 0.5446618107 | 4.5887666   | 2.21 | 2.3626
333 | 0.5523457285 | 4.5568112   | 2.19 | 2.355405405
330 | 0.5629008549 | 4.524999    | 2.16 | 2.347885402
327 | 0.5714003392 | 4.49041     | 2.14 | 2.3389
324 | 0.5814249066 | 4.4548328   | 2.11 | 2.334943
321 | 0.5914494739 | 4.4176      | 2.08 | 2.321633803
318 | 0.5990732341 | 4.382545395 | 2.05 | 2.317302326
315 | 0.6114986086 | 4.345001    | 2.02 | 2.307234432
312 | 0.6291469361 | 4.307801203 | 2    | 2.2986226
308 | 0.6415723107 | 4.2697      | 1.97 | 2.2897
305 | 0.6491960708 | 4.22944     | 1.94 | 2.2807399
301 | 0.6616214454 | 4.189353612 | 1.91 | 2.271377672
298 | 0.6692452056 | 4.149888    | 1.87 | 2.2610111
294 | 0.6816705801 | 4.1080144   | 1.84 | 2.252370917
291 | 0.6993189076 | 4.063661    | 1.81 | 2.2428246
287 | 0.7117442822 | 4.022993459 | 1.78 | 2.2330275
283 | 0.7193680423 | 3.976024749 | 1.74 | 2.222812434
279 | 0.7317934169 | 3.9302      | 1.71 | 2.21137
275 | 0.7481697627 | 3.885128285 | 1.67 | 2.20125555
271 | 0.7618671189 | 3.838944593 | 1.64 | 2.191271322
267 | 0.7694908791 | 3.7899      | 1.6  | 2.17944784
263 | 0.791940821  | 3.74215     | 1.57 | 2.1683
259 | 0.7995645812 | 3.6916      | 1.53 | 2.159641728
255 | 0.8220145231 | 3.641491385 | 1.49 | 2.1467012
250 | 0.8296382832 | 3.5894324   | 1.45 | 2.134083246
245 | 0.8520882251 | 3.535963492 | 1.41 | 2.120978567
241 | 0.8597119853 | 3.484101203 | 1.37 | 2.113277134
236 | 0.8761697627 | 3.43015952  | 1.33 | 2.097997893
231 | 0.8897856874 | 3.372099246 | 1.28 | 2.082191781
226 | 0.9122356292 | 3.314012931 | 1.24 | 2.06691254
220 | 0.9298839568 | 3.25        | 1.19 | 2.055298
215 | 0.9523338987 | 3.190392492 | 1.14 | 2.035827187
210 | 0.961283     | 3.128633    | 1.1  | 2.026667945
205 | 0.9824076007 | 3.0617      | 1.05 | 2.005268704
200 | 1            | 3           | 1    | 2
